'q_L3029D_10%_Relax_echo#0_C','r_L3029D_10%_Relax_echo#0_C'
0.000688883,223.665
0.000841968,191.327
0.000995053,134.775
0.00114814,92.0625
0.00130122,71.3239
0.00145431,56.9048
0.00160739,50.0133
0.00176048,40.9307
0.00191356,35.8069
0.00206665,32.3127
0.00221973,29.2387
0.00237282,26.545
0.0025259,24.9879
0.00267899,22.8802
0.00283207,21.8051
0.00298516,20.6064
0.00313824,19.1262
0.00329133,18.2468
0.00344442,17.2982
0.0035975,16.2809
0.00375059,15.2958
0.00390367,15.0503
0.00405676,14.2371
0.00420984,13.5508
0.00436293,13.1486
0.00451601,12.4052
0.0046691,12.08
0.00482218,11.375
0.00497527,11.0923
0.00512835,10.5059
0.00528144,10.1242
0.00543452,9.68692
0.00558761,9.23235
0.00574069,8.78257
0.00589378,8.3596
0.00604686,8.0281
0.00619995,7.65004
0.00635303,7.31457
0.00650612,6.96227
0.0066592,6.72393
0.00681229,6.38439
0.00696537,6.12811
0.00711846,5.78809
0.00727154,5.50364
0.00742463,5.23082
0.00757771,5.01424
0.0077308,4.81414
0.00788388,4.56929
0.00803697,4.39699
0.00819005,4.17261
0.00834314,3.99508
0.00849622,3.82345
0.00864931,3.65655
0.00880239,3.54081
0.00895548,3.40049
0.00910856,3.25622
0.00926165,3.10126
0.00941473,2.96401
0.00956782,2.84961
0.0097209,2.74568
0.00987399,2.6444
0.0100271,2.51986
0.0101802,2.43935
0.0103332,2.34771
0.0104863,2.25708
0.0106394,2.17421
0.0107925,2.08587
0.0109456,2.00659
0.0110987,1.93557
0.0112518,1.87575
0.0114048,1.81388
0.0115579,1.73912
0.011711,1.67615
0.0118641,1.634
0.0120172,1.57672
0.0121703,1.53899
0.0123234,1.47733
0.0124764,1.43852
0.0126295,1.39922
0.0127826,1.34965
0.0129357,1.30877
0.0130888,1.26655
0.0132419,1.23429
0.0133949,1.19181
0.013548,1.16241
0.0137011,1.12972
0.0138542,1.09443
0.0140073,1.07142
0.0141604,1.04501
0.0143135,1.01534
0.0144665,0.99291
0.0146196,0.969468
0.0147727,0.943358
0.0149258,0.916305
0.0150789,0.893887
0.015232,0.871712
0.0153851,0.849104
0.0155381,0.828777
0.0156912,0.811783
0.0158443,0.792375
0.0159974,0.772438
0.0161505,0.754304
0.0163036,0.73999
0.0164566,0.724639
0.0166097,0.702585
0.0167628,0.68916
0.0169159,0.670615
0.017069,0.657689
0.0172221,0.644335
0.0173752,0.633444
0.0175282,0.618536
0.0176813,0.600877
0.0178344,0.590173
0.0179875,0.568953
0.0181406,0.559195
0.0182937,0.550942
0.0184468,0.537039
0.0185998,0.526245
0.0187529,0.516051
0.018906,0.503123
0.0190591,0.492184
0.0192122,0.481989
0.0193653,0.472023
0.0195184,0.463684
0.0196714,0.451272
0.0198245,0.44193
0.0199776,0.431982
0.0201307,0.428425
0.0202838,0.416089
0.0204369,0.409869
0.0205899,0.398021
0.020743,0.391754
0.0208961,0.385243
0.0210492,0.37558
0.0212023,0.366605
0.0213554,0.361209
0.0215085,0.352583
0.0216615,0.350085
0.0218146,0.34096
0.0219677,0.331557
0.0221208,0.325462
0.0222739,0.321151
0.022427,0.313183
0.0225801,0.305945
0.0227331,0.301056
0.0228862,0.294294
0.0230393,0.290223
0.0231924,0.283484
0.0233455,0.278561
0.0234986,0.27142
0.0236517,0.265612
0.0238047,0.259518
0.0239578,0.253664
0.0241109,0.248836
0.024264,0.246761
0.0244171,0.242453
0.0245702,0.233358
0.0247232,0.230539
0.0248763,0.225047
0.0250294,0.221012
0.0251825,0.213907
0.0253356,0.212043
0.0254887,0.207978
0.0256418,0.202463
0.0257948,0.198841
0.0259479,0.194631
0.026101,0.193822
0.0262541,0.189964
0.0264072,0.184427
0.0265603,0.180094
0.0267134,0.176371
0.0268664,0.171782
0.0270195,0.1691
0.0271726,0.167918
0.0273257,0.16183
0.0274788,0.160053
0.0276319,0.153894
0.0277849,0.15387
0.027938,0.149064
0.0280911,0.146441
0.0282442,0.143337
0.0283973,0.139231
0.0285504,0.138251
0.0287035,0.136644
0.0288565,0.131775
0.0290096,0.126937
0.0291627,0.125194
0.0293158,0.121316
0.0294689,0.12125
0.029622,0.11968
0.0297751,0.11933
0.0299281,0.115913
0.0300812,0.112944
0.0302343,0.110363
0.0303874,0.107719
0.0305405,0.103418
0.0306936,0.104455
0.0308466,0.102635
0.0309997,0.0975729
0.0311528,0.0961514
0.0313059,0.0936135
0.031459,0.0942399
0.0316121,0.0893149
0.0317652,0.0894703
0.0319182,0.0836591
0.0320713,0.085819
0.0322244,0.0833968
0.0323775,0.0811129
0.0325306,0.0779835
0.0326837,0.0760442
0.0328368,0.0763152
0.0329898,0.0740895
0.0331429,0.0722492
0.033296,0.0731094
0.0334491,0.0718073
0.0336022,0.0701922
0.0337553,0.0676081
0.0339084,0.0652536
0.0340614,0.0646936
0.0342145,0.0646844
0.0343676,0.062412
0.0345207,0.0626267
0.0346738,0.0621214
0.0348269,0.0563493
0.0349799,0.0573683
0.035133,0.054156
0.0352861,0.0540731
0.0354392,0.0556569
0.0355923,0.0535689
0.0357454,0.0540449
0.0358985,0.049416
0.0360515,0.0503796
0.0362046,0.0493529
0.0363577,0.0473495
0.0365108,0.0460106
0.0366639,0.0464978
0.036817,0.0479321
0.0369701,0.0496199
0.0371231,0.0422448
0.0372762,0.0418617
0.0374293,0.0404405
0.0375824,0.0477593
0.0377355,0.0379798
0.0378886,0.044451
0.0380417,0.0391884
0.0381947,0.0437101
